"geoname","lntitle","geoid","lnnumber","tot_est","tot_moe","adu_est","adu_moe","cit_est","cit_moe","cvap_est","cvap_moe","cvap_tot","cvap_tot_moe","prc_cvap","prc_cvap_moe","prc_cvap_cv"
"Alameda County, California","American Indian or Alaska Native Alone","05000US06001",3,5315,264,4630,201,5140,239,4510,194,1069835,3822,0.00421560334070207,0.000180709900145939,0.0260589134611543
"Alameda County, California","Asian Alone","05000US06001",4,487340,1904,393720,1418,361080,3155,277765,2730,1069835,3822,0.259633494884725,0.0023772508121926,0.00556606639867954
"Alameda County, California","Black or African American Alone","05000US06001",5,173705,1358,140120,964,166690,1449,133885,1104,1069835,3822,0.125145466356962,0.000930056723253479,0.00451781468999621
"Alameda County, California","Native Hawaiian or Other Pacific Islander Alone","05000US06001",6,13335,363,10755,191,11900,453,9415,368,1069835,3822,0.00880042249505765,0.000342538472050645,0.0236613724297741
"Alameda County, California","American Indian or Alaska Native and White","05000US06001",8,2840,266,2385,205,2795,263,2355,204,1069835,3822,0.002201274028238,0.000190521377759128,0.0526142884698369
"Alameda County, California","Asian and White","05000US06001",9,33865,1715,17935,1260,31855,1566,16205,1144,1069835,3822,0.0151471955955825,0.00106795367719731,0.042860208526746
"Alameda County, California","Black or African American and White","05000US06001",10,13570,1035,7395,780,13400,1032,7240,779,1069835,3822,0.00676739871101619,0.000727748191205091,0.0653722552971417
"Alameda County, California","American Indian or Alaska Native and Black or African American","05000US06001",11,2150,446,1645,305,2150,446,1645,305,1069835,3822,0.00153762028724056,0.000285037765046844,0.11269052479888
"Alameda County, California","Remainder of Two or More Race Responses","05000US06001",12,16345,1213,11010,957,15415,1135,10175,856,1069835,3822,0.00951081241499857,0.000799401624926131,0.0510953652959439
"Alameda County, California","Hispanic or Latino","05000US06001",13,369060,0,259410,0,280190,2771,176210,2463,1069835,3822,0.164707641832619,0.00222575778745169,0.00821482374853016
"Alpine County, California","American Indian or Alaska Native Alone","05000US06003",3,295,57,205,49,295,57,205,49,895,144,0.229050279329609,0.0404880476238187,0.107455860696324
"Alpine County, California","Asian Alone","05000US06003",4,10,14,4,13,4,7,4,5,895,144,0.00446927374301676,0.00554012075890413,0.753557458847902
"Alpine County, California","Black or African American Alone","05000US06003",5,10,19,10,19,10,19,10,19,895,144,0.0111731843575419,0.021152797978829,1.15086651617337
"Alpine County, California","Native Hawaiian or Other Pacific Islander Alone","05000US06003",6,0,12,0,12,0,12,0,12,895,144,0,0.0134078212290503,Inf
"Alpine County, California","American Indian or Alaska Native and White","05000US06003",8,45,41,35,29,45,40,30,34,895,144,0.0335195530726257,0.0376040628385618,0.681978444589926
"Alpine County, California","Asian and White","05000US06003",9,0,12,0,12,0,12,0,12,895,144,0,0.0134078212290503,Inf
"Alpine County, California","Black or African American and White","05000US06003",10,0,12,0,12,0,12,0,12,895,144,0,0.0134078212290503,Inf
"Alpine County, California","American Indian or Alaska Native and Black or African American","05000US06003",11,0,12,0,12,0,12,0,12,895,144,0,0.0134078212290503,Inf
"Alpine County, California","Remainder of Two or More Race Responses","05000US06003",12,4,6,0,12,4,6,0,12,895,144,0,0.0134078212290503,Inf
"Alpine County, California","Hispanic or Latino","05000US06003",13,105,57,75,47,100,54,70,45,895,144,0.0782122905027933,0.0486791231216816,0.378357057697829
"Amador County, California","American Indian or Alaska Native Alone","05000US06005",3,270,96,220,72,270,96,220,72,31115,177,0.00707054475333441,0.00231364687972502,0.198919929987963
"Amador County, California","Asian Alone","05000US06005",4,465,96,415,74,275,92,245,78,31115,177,0.0078740157480315,0.00250642930136255,0.193505484056561
"Amador County, California","Black or African American Alone","05000US06005",5,755,123,750,124,725,134,720,135,31115,177,0.0231399646472762,0.00433674609428754,0.113929293079835
"Amador County, California","Native Hawaiian or Other Pacific Islander Alone","05000US06005",6,70,47,50,37,45,43,30,26,31115,177,0.00096416519363651,0.000835591834134534,0.526837688330213
"Amador County, California","American Indian or Alaska Native and White","05000US06005",8,690,107,545,73,690,107,545,73,31115,177,0.0175156676843966,0.00234401853667973,0.0813520390048127
"Amador County, California","Asian and White","05000US06005",9,310,96,180,74,310,96,180,74,31115,177,0.00578499116181906,0.0023780464557483,0.249891642926742
"Amador County, California","Black or African American and White","05000US06005",10,100,81,60,51,100,81,60,51,31115,177,0.00192833038727302,0.00163904412256943,0.516705753533413
"Amador County, California","American Indian or Alaska Native and Black or African American","05000US06005",11,20,20,20,20,20,20,20,20,31115,177,0.000642776795757673,0.000642766395583077,0.607892899652505
"Amador County, California","Remainder of Two or More Race Responses","05000US06005",12,255,146,115,74,255,146,115,74,31115,177,0.00369596657560662,0.00237818120924684,0.391156909346982
"Amador County, California","Hispanic or Latino","05000US06005",13,5130,0,3930,0,4665,123,3480,113,31115,177,0.111843162461835,0.00357552484863188,0.019434101188761
"Butte County, California","American Indian or Alaska Native Alone","05000US06007",3,1740,305,1485,242,1740,305,1485,242,173840,633,0.00854233778186838,0.00139173712336304,0.0990408979462021
"Butte County, California","Asian Alone","05000US06007",4,10025,559,7730,315,8675,589,6495,354,173840,633,0.0373619420156466,0.00203180571602025,0.0330587808412793
"Butte County, California","Black or African American Alone","05000US06007",5,3345,320,2825,240,3205,311,2710,246,173840,633,0.015589047399908,0.00141395538461679,0.0551379006183969
"Butte County, California","Native Hawaiian or Other Pacific Islander Alone","05000US06007",6,340,148,260,133,340,148,260,133,173840,633,0.00149562816382881,0.000765051946608441,0.310957751691399
"Butte County, California","American Indian or Alaska Native and White","05000US06007",8,4495,324,3260,244,4475,318,3240,240,173840,633,0.0186378278877128,0.00137891079232201,0.0449753934739124
"Butte County, California","Asian and White","05000US06007",9,2325,422,1270,267,2095,384,1100,232,173840,633,0.0063276576161988,0.00133436160476676,0.128193103825728
"Butte County, California","Black or African American and White","05000US06007",10,1770,317,725,242,1745,313,705,235,173840,633,0.00405545329038196,0.00135173710468734,0.202622154630491
"Butte County, California","American Indian or Alaska Native and Black or African American","05000US06007",11,110,83,50,56,110,83,50,56,173840,633,0.000287620800736309,0.000322133594347038,0.680847465547588
"Butte County, California","Remainder of Two or More Race Responses","05000US06007",12,1655,417,915,229,1630,410,890,228,173840,633,0.0051196502531063,0.00131141835760896,0.155716653998663
