"county","year","election_type","office","office_2","winning_vote_count","losing_vote_count","potential_party_flip","winner_party","notes","source","diff","par_tot_est","cvap_est","cvap_moe","ratio_par_cvap","rate_per_100kcvap","flag","flag_wide"
"Kings",2018,"Statewide Primary Election","Supervisor","1st District",1545,1000,"non","","","https://www.countyofkings.com/home/showdocument?id=19291",545,434.968243132543,93040,1039,0.00467506710159655,467.506710159655,"no","no"
"Kings",2018,"Statewide Primary Election","Supervisor","3rd District",2262,1266,"non","","","https://www.countyofkings.com/home/showdocument?id=19291",996,434.968243132543,93040,1039,0.00467506710159655,467.506710159655,"no","no"
"Kings",2018,"Statewide Primary Election","Board of Equalization","District 1",5463,4562,"yes","REP","","https://www.countyofkings.com/home/showdocument?id=19291",901,434.968243132543,93040,1039,0.00467506710159655,467.506710159655,"no","no"
"Kings",2018,"Statewide General Election","County Board of Education","Area 3",3930,1359,"non","","","https://www.countyofkings.com/home/showdocument?id=19648",2571,434.968243132543,93040,1039,0.00467506710159655,467.506710159655,"no","no"
"Kings",2018,"Statewide General Election","County Board of Education","Area 4",4715,3020,"non","","","https://www.countyofkings.com/home/showdocument?id=19648",1695,434.968243132543,93040,1039,0.00467506710159655,467.506710159655,"no","no"
"Kings",2018,"Statewide General Election","School Board Member","Hanford Joint Union HSD Gov Brd Mbr",1581,1128,"","","","https://www.countyofkings.com/home/showdocument?id=19648",453,434.968243132543,93040,1039,0.00467506710159655,467.506710159655,"no","parolee count within 100"
"Kings",2018,"Statewide General Election","City Council","Hanford Area A",1691,1542,"","","4 prec","",149,434.968243132543,93040,1039,0.00467506710159655,467.506710159655,"parolee count exceeds margin","parolee count within 100"
"Kings",2018,"Statewide General Election","City Council","Hanford Area D",725,647,"","","16 prec","",78,434.968243132543,93040,1039,0.00467506710159655,467.506710159655,"parolee count exceeds margin","parolee count within 100"
"Kings",2018,"Statewide General Election","City Council","Hanford Area E",732,585,"","","4 prec","",147,434.968243132543,93040,1039,0.00467506710159655,467.506710159655,"parolee count exceeds margin","parolee count within 100"
"Kings",2018,"Statewide General Election","City Council","Lemoore Area A",783,551,"","","4 prec","",232,434.968243132543,93040,1039,0.00467506710159655,467.506710159655,"parolee count exceeds margin","parolee count within 100"
