"County","par_tot_est","cvap_est","cvap_moe","ratio_par_cvap"
"Alameda",982.105947244826,1069835,3822,0.00091799758583784
"Alpine",1.24632734421932,895,144,0.00139254451868081
"Amador",39.8824750150183,31115,177,0.00128177647485195
"Butte",431.229261099885,173840,633,0.00248061010756952
"Calaveras",46.1141117361149,36165,498,0.00127510332465408
"Colusa",34.897165638141,12370,311,0.0028211128244253
"Contra Costa",569.57159630823,752720,3092,0.000756684552434146
"Del Norte",54.8384031456502,20610,235,0.0026607667707739
"El Dorado",147.06662661788,141080,778,0.00104243426862688
"Fresno",2006.58702419311,581040,2814,0.00345344042439954
"Glenn",43.6214570476763,16890,482,0.00258267951732838
"Humboldt",160.776227404293,105400,558,0.00152539115184338
"Imperial",167.007864125389,102620,1133,0.00162743972057483
"Inyo",18.6949101632898,13660,168,0.00136858785968447
"Kern",1685.03456938452,515640,2584,0.00326785076678404
"Kings",434.968243132543,93040,1039,0.00467506710159655
"Lake",157.037245371635,47800,376,0.00328529802032708
"Lassen",37.3898203265797,25145,168,0.00148696839636427
"Los Angeles",13279.75,6272375,12019,0.00211718049383208
"Madera",218.107285238381,91295,1319,0.00238903866847452
"Marin",63.5626945551854,184545,1115,0.000344429242489287
"Mariposa",17.4485828190705,14000,173,0.00124632734421932
"Mendocino",150.805608650538,61745,550,0.0024423938561914
"Merced",396.332095461744,149115,1531,0.00265789555351068
"Modoc",9.97061875375457,6735,166,0.00148041852320038
"Mono",6.23163672109661,9700,494,0.000642436775370784
"Monterey",547.137704112282,230715,2192,0.00237148735068063
"Napa",90.9818961280105,94890,900,0.000958814375887981
"Nevada",43.6214570476763,78930,570,0.000552660041146285
"Orange",2359,2041825,5924,0.00115533897371224
"Placer",272.945688384031,280785,971,0.000972080732175976
"Plumas",23.6802195401671,15240,118,0.00155382017980099
"Riverside",2816.5,1522140,4134,0.00185035542065776
"Sacramento",2370,1027550,2932,0.00230645710671014
"San Benito",47.3604390803342,37200,732,0.00127313008280468
"San Bernardino",3447.25,1347820,4037,0.0025576486474455
"San Diego",2798.75,2237310,6262,0.0012509442142573
"San Francisco",448.677843918956,646545,3301,0.000693962282469056
"San Joaquin",1094.27540822456,448975,2730,0.00243727469953687
"San Luis Obispo",386.36147670799,217015,1005,0.00178034456930622
"San Mateo",352.710638414068,498140,2876,0.000708055242329602
"Santa Barbara",386.36147670799,281700,1641,0.00137153523858001
"Santa Clara",1102.9996996341,1170245,4055,0.000942537417065742
"Santa Cruz",165.76153678117,190835,1395,0.000868611820584116
"Shasta",449.924171263175,136015,631,0.00330790112313477
"Sierra",2.49265468843864,2450,147,0.00101741007691373
"Siskiyou",61.0700398667468,33785,169,0.00180760810616388
"Solano",405.05638687128,306065,1575,0.00132343256129018
"Sonoma",332.769400906559,356020,1652,0.000934692997321945
"Stanislaus",845.0099393807,335015,2273,0.00252230479047416
"Sutter",164.51520943695,60875,760,0.00270250857391294
"Tehama",154.544590683196,45220,469,0.00341761589303839
"Trinity",137.096007864125,10355,218,0.0132395951582931
"Tulare",661.79981978046,252875,2006,0.00261710259923069
"Tuolumne",72.2869859647207,44140,225,0.0016376752597354
"Ventura",625.656326798099,557875,2606,0.00112149912937145
"Yolo",243.033832122768,144525,1214,0.00168160409702659
"Yuba",173.239500846486,50180,559,0.00345236151547401
