county,year,election_type,office,office_2,winning_vote_count,losing_vote_count,potential_party_flip,winner_party,notes,source
Kings,2018,Statewide Primary Election,Supervisor,1st District,1545,1000,non,,,https://www.countyofkings.com/home/showdocument?id=19291
Kings,2018,Statewide Primary Election,Supervisor,3rd District,2262,1266,non,,,https://www.countyofkings.com/home/showdocument?id=19291
Kings,2018,Statewide Primary Election,Supervisor,4th District,2471,,non,,not contested,https://www.countyofkings.com/home/showdocument?id=19291
Kings,2018,Statewide Primary Election,Proposition,68,9518,6253,,,,https://www.countyofkings.com/home/showdocument?id=19291
Kings,2018,Statewide Primary Election,Proposition,69,11390,4414,,,,https://www.countyofkings.com/home/showdocument?id=19291
Kings,2018,Statewide Primary Election,Proposition,70,9590,5858,,,,https://www.countyofkings.com/home/showdocument?id=19291
Kings,2018,Statewide Primary Election,Proposition,71,10734,4724,,,,https://www.countyofkings.com/home/showdocument?id=19291
Kings,2018,Statewide Primary Election,Proposition,72,11786,3856,,,,https://www.countyofkings.com/home/showdocument?id=19291
Kings,2018,Statewide Primary Election,Board of Equalization,District 1,5463,4562,yes,REP,,https://www.countyofkings.com/home/showdocument?id=19291
Kings,2018,Statewide General Election,County Board of Education,Area 3,3930,1359,non,,,https://www.countyofkings.com/home/showdocument?id=19648
Kings,2018,Statewide General Election,County Board of Education,Area 4,4715,3020,non,,,https://www.countyofkings.com/home/showdocument?id=19648
Kings,2018,Statewide General Election,Proposition,2,15199,14480,,,,https://www.countyofkings.com/home/showdocument?id=19648
Kings,2018,Statewide General Election,Proposition,3,15223,14134,,,,https://www.countyofkings.com/home/showdocument?id=19648
Kings,2018,Statewide General Election,Proposition,7,15831,13531,,,,https://www.countyofkings.com/home/showdocument?id=19648
San Joaquin,2018,Statewide Primary Election,Proposition,68,50015,53054,,,,https://opendata.sjgov.org/dataset/2018-november-general-election/resource/22e9901e-d234-4fc5-9adf-dd81157439ef
San Joaquin,2018,Statewide General Election,US Representative Dist,10,34553,30609,,,,https://opendata.sjgov.org/dataset/2018-november-general-election/resource/22e9901e-d234-4fc5-9adf-dd81157439ef
San Joaquin,2018,Statewide General Election,School Board Member,SJ Delta Community College Trustee Area No. 4,78414,76225,,,,https://opendata.sjgov.org/dataset/2018-november-general-election/resource/22e9901e-d234-4fc5-9adf-dd81157439ef
San Joaquin,2018,Statewide General Election,School Board Member,Yosemite Community College Trustee Area No. 1,64,43,,,only 1 precinct,https://opendata.sjgov.org/dataset/2018-november-general-election/resource/22e9901e-d234-4fc5-9adf-dd81157439ef
